"longitude","latitude","station_name"
"966258",-104.1275,39.7403,"BYERS 5 ENE"
"966259",-66.0108,18.4325,"SAN JUAN L M MARIN AP"
"966260",-94.9233,39.7736,"ST JOSEPH ROSECRANS AP"
"966261",-98.6422,47.5808,"MC HENRY 3W"
"966262",-85.1314,36.0147,"CROSSVILLE ED & RESEARCH"
"966263",-107.2278,46.2942,"HYSHAM"
"966264",-91.1919,39.9369,"QUINCY RGNL AP"
"966265",-118.4767,40.1906,"LOVELOCK"
"966266",-103.1417,40.155,"AKRON 4 E"
"966267",-90.2639,41.7947,"CLINTON #1"
"966268",-91.3339,40.6222,"FT MADISON"
"966269",-97.6508,39.5514,"CONCORDIA MUNI AP"
"966270",-103.2372,43.1878,"OELRICHS"
"966271",-97.5242,44.0122,"HOWARD"
"966272",-100.3908,48.3706,"TOWNER 2 NE"
"966273",-86.2833,42.4014,"SOUTH HAVEN"
"966274",-93.1594,34.9553,"NIMROD DAM"
"966275",-95.2333,35.8667,"FT GIBSON DAM"
"966276",-92.6717,43.0603,"CHARLES CITY"
"966277",-106.2792,40.7442,"WALDEN"
"966278",-115.3594,47.5933,"THOMPSON FALLS PH"
"966279",-97.1328,41.2492,"DAVID CITY"
"966280",-103.5122,38.0494,"LA JUNTA MUNI AP"
"966281",-106.0353,39.6261,"DILLON 1 E"
"966282",-113.5472,43.7186,"GROUSE"
"966284",-105.4072,45.4442,"BROADUS"
"966285",-106.6375,43.7144,"KAYCEE"
"966287",-90.9269,44.9528,"STANLEY WWTP"
"966289",-92.2764,41.8814,"BELLE PLAINE"
"966291",-93.3147,45.8775,"MORA"
"966292",-93.6617,45.7533,"MILACA"
"966294",-86.2514,45.9511,"MANISTIQUE WWTP"
"966295",-111.4078,40.7908,"WANSHIP DAM"
"966296",-111.4747,48.7167,"DUNKIRK 19NNE"
"966297",-107.5822,37.3842,"VALLECITO DAM"
"966298",-112.2872,42.1492,"MALAD CITY"
"966299",-90.8761,43.5594,"VIROQUA"
"966300",-111.0878,48.31,"TIBER DAM"
"966301",-104.3567,44.4122,"SUNDANCE"
"966302",-103.625,34.4278,"MELROSE"
"966304",-107.6236,38.8522,"PAONIA 1 SW"
